moves_used,move_limit
1240181,34996500
1227740,34999965
906757,34999230
380035,34998600
723331,34981590
2081988,34988800
2414096,34982150
47747,35000000
2983219,34999020
240365,34996920
618140,34986700
48054,34996290
3377944,34991880
5001627,34989780
80828,34996675
1034918,34998950
474998,34995765
2847254,34995660
2907205,34994960
4423818,34997270
1029741,34983900
1668950,34988800
69380,34982325
349957,34994960
2748516,34987715
391224,34997025
551677,34999020
614118,34991110
800475,34997025
2436948,34998810
726575,35000000
334741,34997760
37419,34994960
89258,34997620
989456,34992650
2600391,34992090
207712,34997025
80821,34997760
978887,34986910
520631,34997375
224891,34992300
708386,34986000
806531,34995975
269839,34998600
570404,34999790
2254,34977460
563724,34998950
10561,34997900
505385,34998390
283380,34999895
385073,34991880
189633,34998285
399115,34989360
895415,34994785
1847015,34997760
271624,34997200
1249201,34998600
1013535,34974485
57536,34982535
479861,34996675
994424,34989290
228242,34975710
392603,34988310
206156,34992090
243701,34987680
198105,34997900
301372,34990130
4292182,34997900
21636,34990900
778593,34999230
2405994,34997025
388436,34994540
434611,34986000
543180,34990550
1044279,34986735
802327,34980400
2317300,34997760
29515,34992090
354308,34996780
522004,34996080
105222,34996500
580797,34981170
2020347,34976340
205860,34986700
179863,34983060
702993,34993385
369513,34994470
862198,34997340
1278291,34983900
804798,34996500
367021,34989570
767342,34996080
1353303,34996500
611793,34993350
43645,34986910
443009,34986000
553979,34984425
1285970,34995555
592878,34999860
2766579,34999965
851082,34980960
97934,34996430
227588,34993140
341398,34999020
433387,34974975
175886,34999965
46595,34980330
2136311,34984320
2178680,34999440
38220,34999440
223539,34988380
1115471,34988800
446846,34975710
38671,34999965
529930,34989150
459145,34991250
513101,34991250
1364718,34985300
452845,34997375
3022509,34972700
916257,34998250
672528,34992895
263137,34983130
2268829,34986000
132445,34996780
809284,34998810
58454,34993525
267490,34997375
796891,34996290
1051521,34997200
2531,34990550
410776,34987050
2399336,34990270
109267,34995660
616485,34999965
1306968,34995765
1295622,34999230
956589,34995730
1281006,34987050
73474,34981100
695065,34993350
1006984,34997025
619280,34993910
1227136,34997760
2544412,34986000
53232,34996500
2312808,34991250
224687,34987680
232833,34998600
97463,34997760
773418,34994960
355357,34997725
84122,34999440
702444,34995520
355563,34996780
496554,34976340
1236386,34994505
341243,34996290
1490665,34997620
1771249,34986000
1828624,34998600
1294316,34980960
604451,34989255
218698,34983760
2352017,34979175
819923,34971790
419733,34994960
1051452,34996290
649397,34994505
127916,34987400
2749451,34983900
1643052,34999650
437904,34998810
37954,34994960
613327,34993280
24728,34999125
968181,34997270
902760,34998950
99993,34995800
3636572,34990655
1115373,34998250
297498,34993350
180042,34998810
4391364,34997760
988262,34984320
150805,34999965
10939,34985790
729782,34993350
124423,34986000
1312419,34991250
382384,34998705
161608,34999580
96617,34997620
480720,34998740
1310179,34993910
1009640,34994155
1673836,34997655
2709806,34990060
199295,34993420
221999,34985790
4151576,34992930
1338262,34995520
645506,34995660
11056,34996780
145069,34982220
2438938,34993070
423010,34995240
50277,34987680
6691,34992930
965504,34988975
1515143,34994960
2376216,34998600
910936,34999790
90241,34982220
2255179,34992090
2843461,34997620
501216,34991180
935011,34999440
81336,34989255
921731,34987680
568314,34993350
1128956,34998810
977354,34998600
100698,34998950
64339,34998810
208953,34997200
315587,34996815
1255904,34993350
838001,34999160
72152,34999930
1223144,34973715
89008,34971300
60489,34994960
177917,34999965
2588257,34995975
56830,34998740
669964,34982990
71477,34983060
985062,34988800
1083981,34996500
774068,34997760
264520,34999125
1844356,34998180
1073270,34992930
3054184,34999965
1515467,34997865
1093082,34999965
127450,34998670
1364294,34986000
40305,34994960
572389,34983550
452948,34998600
742629,34989255
270477,34997515
199115,34994085
364447,34980855
255608,34998600
2289817,34991040
2644750,34982220
1368081,34982220
1399314,34969200
720262,34984320
468222,34996920
2790548,34992720
462827,34981100
2633268,34997760
384037,34987050
535101,34986000
176781,34991775
231,34999650
5500,34996920
2757095,34996500
1758849,34993350
1672246,34996500
306273,34994575
101304,34996290
421038,34999720
1051111,34996115
215391,34986595
3081412,34993910
2177987,34997760
804955,34981590
1895316,34994470
3039659,34988800
234003,34975675
1008843,34986700
746276,34992930
1585391,34996465
384181,34998810
366372,34985300
232682,34982080
2510614,34997200
2304286,34999650
895185,34985860
208465,34991425
2830640,34995800
133843,34996500
1970290,34991250
372575,34997270
293922,34997760
623191,34993840
363410,34987680
63707,34997760
431327,34999650
28776,34992650
823312,34993630
267536,34987610
1880203,34991880
1582957,34976130
495706,34999965
2470703,34980120
1596027,34972700
1179951,34997270
631980,34978860
163857,34999020
1100648,34996500
147754,34997760
946942,34985475
561353,34989885
152216,34978860
4230817,34993140
812019,34997900
688066,34993350
1397291,34996500
379123,34986700
1326467,34997760
2121760,34990025
1485985,34997200
3201835,34981485
113283,34968640
1134900,34994575
61723,34989150
2249300,34989570
434536,35000000
2957278,34999650
1093219,34997200
1850990,34998600
1645828,34990550
1707372,34993735
1464445,34999230
448416,34994155
59376,34989570
508497,34999650
1422241,34996815
732968,34992720
627437,34982745
1605309,34997270
201806,34997760
4122504,34980960
29293,34999440
239930,34998250
678445,34985475
106015,34997900
457201,34993770
305901,34996080
1434750,34985475
1012930,34998600
2279478,34999020
381210,34999965
943571,34999965
960259,34998600
1597711,34970390
233711,34990690
5932584,34999440
362431,35000000
1195057,34999965
658500,34974730
327516,34999020
3053728,34982080
770105,34975360
1341420,34986875
894772,34997340
183111,34986105
44817,34992650
940910,34993840
1413053,34996920
1658749,34996500
426545,34996815
814838,34974485
444476,34993350
1593888,34989780
2852792,34999230
717516,34984950
1085845,34981835
392258,34994540
180274,34996920
1573220,34989780
171618,34994960
775148,34999615
727719,34994960
334990,34980400
174378,34998600
1442716,34996500
1005664,34990690
338612,34999860
682169,34999440
1842042,34999965
208928,34996500
216807,34987050
178702,34998600
1422999,34993420
1872381,35000000
791002,34995730
249980,34997270
1591405,34971300
227315,34997200
546867,34986000
479551,34998810
2200594,34991005
490432,34999965
784114,34998285
106696,34991040
249339,34977670
732818,34997760
394887,34997655
1846268,34988660
240616,34982220
1021417,34971790
3484022,34986735
902867,34995975
872036,34998740
32692,34999965
39478,34999930
185143,34994960
2623033,34997760
56107,34982325
631597,34996290
395053,35000000
485408,34988660
3067049,34999720
964965,34995800
3830131,34991985
664623,34986000
792580,34997270
102776,34996185
2331548,34985790
1809171,34999160
1388980,34988310
441178,34985790
301419,34986735
472693,34992090
79375,34999860
867861,34998390
1974020,34990515
121200,34999720
891341,34999440
132594,34983655
661652,34996920
751340,34973750
619797,34994505
1600297,34996710
2096128,34992265
1194,34994960
2389700,34995520
371754,34998600
1530658,34995345
217709,34999020
456117,34991250
64063,34993350
659163,34984950
1709022,34997025
473070,34994925
370787,34994960
514,34981205
143055,34973120
1814230,34981100
350504,34968500
3057980,34982080
5441,34995660
1001011,34973750
1047037,34996780
160875,34996500
3269027,34989360
3425143,34997270
411920,34999615
538750,34992160
641635,34996080
2439283,34997760
83498,34994470
328511,34997760
962312,34978020
73022,34997340
305231,34997025
743137,34992930
664032,34992265
252541,34999860
687885,34989570
1703359,34991110
181799,34985300
287080,34995800
362037,34990550
189126,34987680
1999151,34987680
629261,35000000
278279,34996500
136863,34989360
1273496,34989255
2260706,34978230
491899,34981590
830989,34985720
982198,34997270
1020053,34999160
1061863,34982220
4138036,34982080
936418,34991880
161337,34981100
106548,34999230
1510068,34997760
2773898,34998285
137240,34993280
972605,34993840
541610,34994575
2703955,34999965
3159817,34998600
198303,35000000
37601,34999965
730514,34999965
3251231,34984565
678932,34995800
163483,34996500
663038,34998075
302119,34991775
1669060,34990900
13375,34985475
351636,34991250
131603,34992160
497845,34986315
4586,34976130
258105,34996080
84898,34999895
1606203,34987680
223088,34995275
609545,34996920
696859,34977460
710975,34993105
2297523,34983655
130875,34998390
741155,34982080
142602,34990270
213155,34997865
508994,34997900
410013,35000000
1030125,34999895
333367,34996290
36546,34997025
1362413,34999965
2748205,34993350
133721,34999440
1044999,34997340
494969,35000000
660779,34982570
1291733,34999965
142266,34974730
2259134,34995800
28218,34992720
379598,34982115
14483,34981100
1505710,34993350
180141,34988380
1002108,34999125
135163,34994575
994765,34991145
1122644,34991250
67016,34997025
4640081,34987680
2873792,34997340
650909,34992265
50276,34982990
711703,34982080
1180945,34992160
63963,34994960
577709,34976480
283951,34987680
234559,35000000
3002294,34977950
327964,34987680
354825,34997270
3268812,34990725
1181766,34997270
65764,34999720
518546,34999230
1049194,34992720
255813,34999650
239830,34990655
772591,35000000
5233842,34997025
868483,34997900
850066,34986525
57664,34994505
364918,34997760
597340,34997060
743513,34986735
2681697,34998705
622772,34999440
305828,35000000
569291,34997760
828823,34976200
1318915,34969200
3871427,34997375
1791101,34998425
373990,34991880
711355,34991040
473399,34997655
506716,34986000
598453,34971650
124166,34998040
142617,34986000
1206454,34995555
155840,34989500
1460699,34991040
2527744,34992930
90285,34999650
232041,34996500
70885,34999965
1774050,34995975
1991867,34983060
87499,34995240
2888643,34993280
1632762,34983655
2594742,34972700
512211,34997200
4445548,34996500
141246,34999860
121862,34998670
1385354,34983900
122977,34999720
194161,34997760
566246,34999965
757186,34988660
34837,34977600
1179901,34986000
104802,34984950
1356166,34991040
380021,34982080
93602,34996290
965320,34999650
219597,34974975
157271,34985860
2614693,34993350
502590,34999615
660735,34991880
1549036,34997200
395144,34979280
860123,34999125
70423,34994960
1184352,34979280
932767,34997760
530685,34993140
312838,34997025
1403007,34997760
1258385,34997375
3763317,34993350
1004592,34999020
179710,34989150
626377,34988800
2513461,34997200
1574853,34998180
306342,34999580
85853,34993140
58106,34998180
2297948,34977250
220993,34988975
12686,34998810
121862,34983550
1254743,34974975
985149,34991425
555532,34984460
77769,34999230
2272337,34999440
1932396,34999230
3246940,34993840
879648,34988310
1299523,34996500
1234635,34992720
102441,34996500
683998,34996780
2483071,34994295
140129,34983060
227319,34995345
858172,34989605
187896,34998950
1761436,34999020
1527195,34997760
1136687,34992650
684952,34999510
2179535,34989255
942918,34999930
46472,34997725
112851,34995275
722760,34997760
397484,34989885
329710,34996080
568492,34999965
1123084,34991250
2951845,34998705
330942,34992930
283698,34992930
2433441,34990515
648447,34997620
327314,34973505
748143,34995520
90792,34997270
840546,34999965
46772,34999720
3253644,34996290
467286,34973750
986877,34989150
1826208,34987680
1833030,34995625
442557,34999895
192359,34997760
197286,34989570
1249799,34996920
53027,34985300
31874,34998250
681118,34999230
1296723,34995520
847739,34969200
981051,34987365
2161065,34991250
3158384,34966365
381420,34991040
230995,34999125
2516,34995660
1449949,34997760
1854391,34986000
243464,34996500
1837531,34994365
917158,34986000
950792,34998495
1941375,34999965
836755,34993140
1648391,34980995
1256992,34980890
246110,34996500
1462816,34998600
1646667,34986000
1776628,34999965
1184737,34999020
2393581,35000000
620620,34973190
1816346,34993280
757226,34991250
210953,34991250
686023,34982220
1770934,34996080
966672,34991250
2151550,34980330
2563382,34985860
597152,34997200
121376,34997620
1938902,34996500
448920,34999230
142010,34994155
2099364,34989885
1825934,34969200
3371277,34996290
732140,34982990
2404015,34986000
1075309,34982325
3193082,35000000
56686,34970565
752464,34986000
662265,34993910
1932290,34997760
453124,34998600
5700818,34996920
78577,34993140
1488255,34988380
187888,34998985
1527057,34994925
1642728,34997340
335546,34979035
1255078,34995555
357253,34994400
67901,34999965
197916,34986525
476463,34992720
753205,34991250
95711,34993840
690005,34975710
3214033,34988660
481522,34981065
